,tweet_id,favorites,retweets
0,892420643555336193,38446,8456
1,892177421306343426,32939,6230
2,891815181378084864,24817,4129
3,891689557279858688,41798,8578
4,891327558926688256,39963,9316
5,891087950875897856,20059,3084
6,890971913173991426,11741,2053
7,890729181411237888,64914,18768
8,890609185150312448,27575,4238
9,890240255349198849,31647,7347
10,890006608113172480,30410,7283
11,889880896479866881,27549,4939
12,889665388333682689,47712,9990
13,889638837579907072,26936,4513
14,889531135344209921,14972,2224
15,889278841981685760,25082,5384
16,888917238123831296,28849,4471
17,888804989199671297,25372,4295
18,888554962724278272,19715,3556
19,888078434458587136,21566,3474
20,887705289381826560,29918,5350
21,887517139158093824,45860,11597
22,887473957103951883,68535,18073
23,887343217045368832,33400,10332
24,887101392804085760,30284,5920
25,886983233522544640,34873,7727
26,886736880519319552,11957,3270
27,886680336477933568,22242,4437
28,886366144734445568,21018,3178
29,886267009285017600,116,4
30,886258384151887873,27750,6230
31,886054160059072513,0,104
32,885984800019947520,32421,6768
33,885528943205470208,35681,6387
34,885518971528720385,20258,3736
35,885311592912609280,0,18488
36,885167619883638784,21761,4355
37,884925521741709313,76829,18321
38,884876753390489601,27708,5750
39,884562892145688576,24099,4840
40,884441805382717440,26759,5616
41,884247878851493888,72430,20327
42,884162670584377345,20208,2966
43,883838122936631299,21722,3425
44,883482846933004288,45561,9906
45,883360690899218434,22386,3655
46,883117836046086144,36904,6641
47,882992080364220416,23765,3897
48,882762694511734784,28072,4893
49,882627270321602560,27684,6058
50,882268110199369728,44609,11530
51,882045870035918850,29114,4946
52,881906580714921986,24099,3386
53,881666595344535552,50139,10605
54,881633300179243008,126,7
55,881536004380872706,49046,15878
56,881268444196462592,22904,5133
57,880935762899988482,16877,2767
58,880872448815771648,21121,3797
59,880465832366813184,28307,6259
60,880221127280381952,26839,4205
61,880095782870896641,27403,4346
62,879862464715927552,22154,3482
63,879674319642796034,310,10
64,879492040517615616,23227,3171
65,879415818425184262,105045,43955
66,879376492567855104,16639,3107
67,879130579576475649,0,6817
68,879050749262655488,22403,4698
69,879008229531029506,18822,2677
70,878776093423087618,19268,4116
71,878604707211726852,30045,7180
72,878404777348136964,0,1284
73,878316110768087041,0,6634
74,878281511006478336,7690,1284
75,878057613040115712,41715,6817
76,877736472329191424,79214,19053
77,877611172832227328,0,80
78,877556246731214848,22564,3806
79,877316821321428993,27162,5161
80,877201837425926144,26904,5575
81,876838120628539392,20523,3344
82,876537666061221889,23302,4610
83,876484053909872640,18626,2392
84,876120275196170240,27702,4683
85,875747767867523072,25025,4279
86,875144289856114688,21771,4921
87,875097192612077568,27248,6031
88,875021211251597312,25289,4710
89,874680097055178752,27648,4648
90,874434818259525634,0,14755
91,874296783580663808,25904,4119
92,874057562936811520,22512,3958
93,874012996292530176,34431,10455
94,873580283840344065,24102,3956
95,873337748698140672,0,1592
96,873213775632977920,7207,1592
97,872967104147763200,27253,5419
98,872820683541237760,14661,3704
99,872668790621863937,0,27
100,872620804844003328,20690,3714
101,872486979161796608,40516,9041
102,872261713294495745,34073,6361
103,872122724285648897,34339,8159
104,871879754684805121,37924,11264
105,871762521631449091,20204,3498
106,871515927908634625,20161,3477
107,871166179821445120,0,5740
108,871102520638267392,20894,5541
109,871032628920680449,22619,3840
110,870804317367881728,33588,6254
111,870726314365509632,119,3
112,870656317836468226,12401,2668
113,870374049280663552,82652,26461
114,870308999962521604,21820,4196
115,870063196459192321,36717,8449
116,869772420881756160,42434,10140
117,869702957897576449,28270,6412
118,869596645499047938,15992,3169
119,869227993411051520,20476,3835
120,868880397819494401,65839,14716
121,868639477480148993,0,2131
122,868622495443632128,27312,5864
123,868552278524837888,10183,2131
124,867900495410671616,24287,4237
125,867774946302451713,34183,7465
126,867421006826221569,16214,2563
127,867072653475098625,0,128
128,867051520902168576,32441,8014
129,866720684873056260,20223,4907
130,866686824827068416,19465,3551
131,866450705531457537,123231,35966
132,866334964761202691,53040,14755
133,866094527597207552,0,8553
134,865718153858494464,25824,5735
135,865359393868664832,26724,5108
136,865006731092295680,28284,7858
137,864873206498414592,32617,8927
138,864279568663928832,14776,3110
139,864197398364647424,30494,9163
140,863907417377173506,20853,4237
141,863553081350529029,15475,4276
142,863471782782697472,0,2527
143,863432100342583297,24108,5394
144,863427515083354112,2289,99
145,863079547188785154,8877,1124
146,863062471531167744,8648,2527
147,862831371563274240,19433,5218
148,862722525377298433,17290,3626
149,862457590147678208,20813,5096
150,862096992088072192,75625,23964
151,861383897657036800,36605,11006
152,861288531465048066,17450,4286
153,861005113778896900,16974,3918
154,860981674716409858,0,2226
155,860924035999428608,0,844
156,860563773140209665,7629,2226
157,860524505164394496,24003,5433
158,860276583193509888,18590,3586
159,860184849394610176,16966,6015
160,860177593139703809,0,31888
161,859924526012018688,19883,4230
162,859851578198683649,15666,3624
163,859607811541651456,18923,1622
164,859196978902773760,91558,31276
165,859074603037188101,34534,14067
166,858860390427611136,0,8431
167,858843525470990336,15832,3595
168,858471635011153920,21934,5020
169,858107933456039936,16052,3022
170,857989990357356544,16449,2682
171,857746408056729600,34989,11028
172,857393404942143489,6047,1706
173,857263160327368704,20448,4701
174,857214891891077121,235,18
175,857062103051644929,0,178
176,857029823797047296,19353,4166
177,856602993587888130,0,11137
178,856543823941562368,16646,2999
179,856526610513747968,12107,1955
180,856330835276025856,0,707
181,856288084350160898,528,17
182,856282028240666624,28387,6599
183,855862651834028034,356,28
184,855860136149123072,5161,1078
185,855857698524602368,12128,2210
186,855851453814013952,46545,18505
187,855818117272018944,27268,5686
188,855459453768019968,30736,8612
189,855245323840757760,0,6264
190,855138241867124737,0,48
191,854732716440526848,23502,6411
192,854482394044301312,30180,7222
193,854365224396361728,19469,4928
194,854120357044912130,32956,7896
195,854010172552949760,16699,3313
196,853760880890318849,29517,6109
197,853639147608842240,36033,10694
198,853299958564483072,16045,3758
199,852936405516943360,0,2135
200,852912242202992640,9366,1946
201,852672615818899456,15443,2275
202,852553447878664193,16955,3723
203,852311364735569921,34331,10479
204,852226086759018497,20753,7209
205,852189679701164033,11886,1674
206,851953902622658560,0,10227
207,851861385021730816,0,23
208,851591660324737024,16818,3682
209,851464819735769094,25221,7517
210,851224888060895234,21497,6083
211,850753642995093505,32277,9885
212,850380195714523136,13585,2783
213,850333567704068097,3567,356
214,850145622816686080,16988,4072
215,850019790995546112,21290,5217
216,849776966551130114,31732,8105
217,849668094696017920,0,5290
218,849412302885593088,16543,3349
219,849336543269576704,11919,2015
220,849051919805034497,44331,9100
221,848690551926992896,26318,4608
222,848324959059550208,25867,4919
223,848213670039564288,8537,802
224,848212111729840128,17071,3298
225,847978865427394560,0,3481
226,847971574464610304,0,462
227,847962785489326080,24573,5462
228,847842811428974592,5731,1438
229,847617282490613760,7331,452
230,847606175596138505,19627,3625
231,847251039262605312,21399,4599
232,847157206088847362,20921,6287
233,847116187444137987,22435,3415
234,846874817362120707,21047,4202
235,846514051647705089,46817,12470
236,846505985330044928,14823,3325
237,846153765933735936,33247,9743
238,846139713627017216,32355,10589
239,846042936437604353,16774,3102
240,845812042753855489,30755,9409
241,845677943972139009,26330,5138
242,845397057150107648,8003,1954
243,845306882940190720,24484,5806
244,845098359547420673,0,8249
245,844979544864018432,14319,2780
246,844973813909606400,15881,3457
247,844704788403113984,40701,11137
248,844580511645339650,17315,3386
249,844223788422217728,14327,2366
250,843981021012017153,15886,3145
251,843856843873095681,22512,4987
252,843604394117681152,17760,2964
253,843235543001513987,22627,6542
254,842846295480000512,16007,3873
255,842765311967449089,7101,1373
256,842535590457499648,19040,3781
257,842163532590374912,25778,6264
258,842115215311396866,14762,3272
259,841833993020538882,0,16628
260,841680585030541313,27003,8368
261,841439858740625411,13325,3970
262,841320156043304961,20822,5867
263,841314665196081154,16699,5082
264,841077006473256960,24164,5740
265,840761248237133825,0,1901
266,840728873075638272,0,17553
267,840698636975636481,191,2
268,840696689258311684,12976,1067
269,840632337062862849,9465,1901
270,840370681858686976,17382,4934
271,840268004936019968,20359,6201
272,839990271299457024,14180,2492
273,839549326359670784,29090,8431
274,839290600511926273,0,154
275,839239871831150596,28748,7116
276,838952994649550848,20741,4317
277,838921590096166913,11809,2251
278,838916489579200512,0,36
279,838831947270979586,0,12022
280,838561493054533637,11540,1436
281,838476387338051585,23917,5233
282,838201503651401729,0,10986
283,838150277551247360,1778,356
284,838085839343206401,147,0
285,838083903487373313,18662,3421
286,837820167694528512,36198,8553
287,837482249356513284,4060,481
288,837471256429613056,13550,2503
289,837366284874571778,22375,5755
290,837110210464448512,16967,2606
291,836989968035819520,13488,2495
292,836753516572119041,20382,5020
293,836677758902222849,13361,2421
294,836648853927522308,0,603
295,836397794269200385,0,30065
296,836380477523124226,15605,3212
297,836260088725786625,22532,4672
298,836001077879255040,20269,4683
299,835685285446955009,0,8908
300,835574547218894849,18875,3952
301,835536468978302976,0,1855
302,835309094223372289,0,22931
303,835297930240217089,17391,3262
304,835264098648616962,8236,1855
305,835246439529840640,2212,79
306,835172783151792128,27719,6263
307,835152434251116546,23837,3296
308,834931633769889797,11502,1800
309,834786237630337024,22421,5970
310,834574053763584002,14533,2768
311,834477809192075265,0,11648
312,834458053273591808,10206,1825
313,834209720923721728,21880,5235
314,834167344700198914,16721,3960
315,834089966724603904,10667,2324
316,834086379323871233,13870,2416
317,833863086058651648,14243,2627
318,833826103416520705,16291,3757
319,833732339549220864,0,237
320,833722901757046785,21961,3497
321,833479644947025920,15786,2255
